feature,importance
lag_1,0.30825368989816815
lag_2,0.18116793224577277
roll_mean_4,0.13900265753782823
roll_max_8,0.08244167370656558
roll_mean_8,0.06381349118598165
roll_max_12,0.042246625635979466
lag_4,0.03967987945866454
roll_mean_12,0.03241865658711036
lag_26,0.016655537981938764
lag_8,0.015153117107904
weekofyear,0.01428962100828991
cos_week,0.013156828253467978
roll_std_8,0.012334077667292418
lag_12,0.01159828115546149
lag_52,0.010641467676788054
roll_std_4,0.008736213739735927
sin_week,0.008410249153050714
