feature,importance
lag_1,0.32951538887558923
lag_2,0.18907046377150163
roll_mean_4,0.1359900135396767
roll_max_8,0.06425907476721199
lag_4,0.04920301270762529
roll_mean_8,0.0433769259192387
roll_max_12,0.03454069887137068
roll_std_4,0.02314320169523875
roll_mean_12,0.022131151105181678
roll_std_8,0.021784987056419902
lag_12,0.016797794590429235
weekofyear,0.015783058168953906
lag_8,0.014664127136823394
sin_week,0.011894985685649591
lag_52,0.010716381417590518
cos_week,0.009439438300027289
lag_26,0.007689296391471483
