feature,importance
lag_1,0.3342447336123949
lag_2,0.17713202427231653
roll_mean_4,0.10957637545499965
roll_max_8,0.06779261884495544
roll_std_8,0.04342262679854953
roll_mean_8,0.04050630559787899
roll_max_12,0.03514210558213342
lag_4,0.03189829690577118
roll_mean_12,0.026143935549973917
roll_std_4,0.026055499512352476
lag_8,0.021976487458358784
cos_week,0.016735659268229904
weekofyear,0.016073197078769867
lag_12,0.01487785583454826
sin_week,0.013714364614813046
lag_52,0.013036749936719307
lag_26,0.011671163677234858
