department,year,ubigeo,iddpto,population,cases_men5,cases_60mas,hosp_men5,hosp_60mas,death_men5,death_60mas,cases_rate_men5,cases_rate_60mas,hosp_rate_men5,hosp_rate_60mas,death_rate_men5,death_rate_60mas,inc_rate_men5,inc_rate_60mas
AMAZONAS,2000,10000,01,356329.0,2900,0,480,0,30,0,813.85,0.0,134.71,0.0,8.42,0.0,813.85,0.0
AMAZONAS,2001,10000,01,359138.0,2134,0,446,0,20,0,594.2,0.0,124.19,0.0,5.57,0.0,594.2,0.0
AMAZONAS,2002,10000,01,361947.0,1767,0,267,0,21,0,488.19,0.0,73.77,0.0,5.8,0.0,488.19,0.0
AMAZONAS,2003,10000,01,364756.0,1442,0,235,0,9,0,395.33,0.0,64.43,0.0,2.47,0.0,395.33,0.0
AMAZONAS,2004,10000,01,367566.0,1305,0,115,0,6,0,355.04,0.0,31.29,0.0,1.63,0.0,355.04,0.0
AMAZONAS,2005,10000,01,370375.0,1004,0,58,0,4,0,271.08,0.0,15.66,0.0,1.08,0.0,271.08,0.0
AMAZONAS,2006,10000,01,373184.0,1075,62,95,36,3,5,288.06,16.61,25.46,9.65,0.8,1.34,288.06,16.61
AMAZONAS,2007,10000,01,375993.0,1026,62,106,30,11,7,272.88,16.49,28.19,7.98,2.93,1.86,272.88,16.49
AMAZONAS,2008,10000,01,380130.0,915,92,115,40,8,10,240.71,24.2,30.25,10.52,2.1,2.63,240.71,24.2
AMAZONAS,2009,10000,01,384267.0,856,94,96,53,8,5,222.76,24.46,24.98,13.79,2.08,1.3,222.76,24.46
AMAZONAS,2010,10000,01,388405.0,738,94,80,68,11,3,190.01,24.2,20.6,17.51,2.83,0.77,190.01,24.2
AMAZONAS,2011,10000,01,392542.0,802,52,91,41,14,4,204.31,13.25,23.18,10.44,3.57,1.02,204.31,13.25
AMAZONAS,2012,10000,01,396679.0,592,108,54,72,11,1,149.24,27.23,13.61,18.15,2.77,0.25,149.24,27.23
AMAZONAS,2013,10000,01,400816.0,662,123,149,92,14,1,165.16,30.69,37.17,22.95,3.49,0.25,165.16,30.69
AMAZONAS,2014,10000,01,404953.0,526,171,94,107,8,3,129.89,42.23,23.21,26.42,1.98,0.74,129.89,42.23
AMAZONAS,2015,10000,01,409091.0,518,163,94,102,9,0,126.62,39.84,22.98,24.93,2.2,0.0,126.62,39.84
AMAZONAS,2016,10000,01,413228.0,453,180,106,91,6,7,109.62,43.56,25.65,22.02,1.45,1.69,109.62,43.56
AMAZONAS,2017,10000,01,417365.0,427,232,89,155,13,3,102.31,55.59,21.32,37.14,3.11,0.72,102.31,55.59
AMAZONAS,2018,10000,01,419833.0,563,128,105,87,5,2,134.1,30.49,25.01,20.72,1.19,0.48,134.1,30.49
AMAZONAS,2019,10000,01,423863.0,514,237,106,95,13,1,121.27,55.91,25.01,22.41,3.07,0.24,121.27,55.91
AMAZONAS,2020,10000,01,426806.0,217,190,11,134,3,43,50.84,44.52,2.58,31.4,0.7,10.07,50.84,44.52
AMAZONAS,2021,10000,01,428512.0,251,221,17,182,5,92,58.57,51.57,3.97,42.47,1.17,21.47,58.57,51.57
AMAZONAS,2022,10000,01,429483.0,377,183,66,110,5,22,87.78,42.61,15.37,25.61,1.16,5.12,87.78,42.61
AMAZONAS,2023,10000,01,429943.0,538,362,176,181,10,22,125.13,84.2,40.94,42.1,2.33,5.12,125.13,84.2
ANCASH,2000,20000,02,1009241.0,3143,0,707,0,62,0,311.42,0.0,70.05,0.0,6.14,0.0,311.42,0.0
ANCASH,2001,20000,02,1016986.0,2582,0,790,0,34,0,253.89,0.0,77.68,0.0,3.34,0.0,253.89,0.0
ANCASH,2002,20000,02,1024732.0,1658,0,407,0,32,0,161.8,0.0,39.72,0.0,3.12,0.0,161.8,0.0
ANCASH,2003,20000,02,1032477.0,1572,0,348,0,27,0,152.26,0.0,33.71,0.0,2.62,0.0,152.26,0.0
ANCASH,2004,20000,02,1040223.0,1764,0,515,0,35,0,169.58,0.0,49.51,0.0,3.36,0.0,169.58,0.0
ANCASH,2005,20000,02,1047968.0,1252,0,407,0,32,0,119.47,0.0,38.84,0.0,3.05,0.0,119.47,0.0
ANCASH,2006,20000,02,1055714.0,1452,22,401,8,26,0,137.54,2.08,37.98,0.76,2.46,0.0,137.54,2.08
ANCASH,2007,20000,02,1063459.0,1258,168,262,73,26,5,118.29,15.8,24.64,6.86,2.44,0.47,118.29,15.8
ANCASH,2008,20000,02,1071025.0,1291,221,336,11,22,8,120.54,20.63,31.37,1.03,2.05,0.75,120.54,20.63
ANCASH,2009,20000,02,1078590.0,1197,286,478,135,17,5,110.98,26.52,44.32,12.52,1.58,0.46,110.98,26.52
ANCASH,2010,20000,02,1086156.0,1156,272,536,143,14,8,106.43,25.04,49.35,13.17,1.29,0.74,106.43,25.04
ANCASH,2011,20000,02,1093721.0,863,209,412,127,7,4,78.9,19.11,37.67,11.61,0.64,0.37,78.9,19.11
ANCASH,2012,20000,02,1101287.0,763,275,451,174,4,6,69.28,24.97,40.95,15.8,0.36,0.54,69.28,24.97
ANCASH,2013,20000,02,1108853.0,968,424,518,265,9,8,87.3,38.24,46.71,23.9,0.81,0.72,87.3,38.24
ANCASH,2014,20000,02,1116418.0,538,359,260,248,3,5,48.19,32.16,23.29,22.21,0.27,0.45,48.19,32.16
ANCASH,2015,20000,02,1123984.0,517,252,292,187,7,2,46.0,22.42,25.98,16.64,0.62,0.18,46.0,22.42
ANCASH,2016,20000,02,1131549.0,553,294,328,205,4,9,48.87,25.98,28.99,18.12,0.35,0.8,48.87,25.98
ANCASH,2017,20000,02,1139115.0,748,487,430,300,0,12,65.67,42.75,37.75,26.34,0.0,1.05,65.67,42.75
ANCASH,2018,20000,02,1155451.0,819,596,548,405,8,11,70.88,51.58,47.43,35.05,0.69,0.95,70.88,51.58
ANCASH,2019,20000,02,1169522.0,697,729,346,526,8,6,59.6,62.33,29.58,44.98,0.68,0.51,59.6,62.33
ANCASH,2020,20000,02,1180638.0,181,532,64,293,0,13,15.33,45.06,5.42,24.82,0.0,1.1,15.33,45.06
ANCASH,2021,20000,02,1188391.0,233,1093,76,730,1,59,19.61,91.97,6.4,61.43,0.08,4.96,19.61,91.97
ANCASH,2022,20000,02,1194156.0,599,803,192,493,3,15,50.16,67.24,16.08,41.28,0.25,1.26,50.16,67.24
ANCASH,2023,20000,02,1198547.0,903,782,362,443,7,15,75.34,65.25,30.2,36.96,0.58,1.25,75.34,65.25
APURIMAC,2000,30000,03,393094.0,2769,0,401,0,17,0,704.41,0.0,102.01,0.0,4.32,0.0,704.41,0.0
