UBIGEO,iddpto,Department,Year,Population
10000,1,AMAZONAS,2000,356329.0
10000,1,AMAZONAS,2001,359138.0
10000,1,AMAZONAS,2002,361947.0
10000,1,AMAZONAS,2003,364756.0
10000,1,AMAZONAS,2004,367566.0
10000,1,AMAZONAS,2005,370375.0
10000,1,AMAZONAS,2006,373184.0
10000,1,AMAZONAS,2007,375993.0
10000,1,AMAZONAS,2008,380130.0
10000,1,AMAZONAS,2009,384267.0
10000,1,AMAZONAS,2010,388405.0
10000,1,AMAZONAS,2011,392542.0
10000,1,AMAZONAS,2012,396679.0
10000,1,AMAZONAS,2013,400816.0
10000,1,AMAZONAS,2014,404953.0
10000,1,AMAZONAS,2015,409091.0
10000,1,AMAZONAS,2016,413228.0
10000,1,AMAZONAS,2017,417365.0
10000,1,AMAZONAS,2018,419833.0
10000,1,AMAZONAS,2019,423863.0
10000,1,AMAZONAS,2020,426806.0
10000,1,AMAZONAS,2021,428512.0
10000,1,AMAZONAS,2022,429483.0
10000,1,AMAZONAS,2023,429943.0
20000,2,ANCASH,2000,1009241.0
20000,2,ANCASH,2001,1016986.0
20000,2,ANCASH,2002,1024732.0
20000,2,ANCASH,2003,1032477.0
20000,2,ANCASH,2004,1040223.0
20000,2,ANCASH,2005,1047968.0
20000,2,ANCASH,2006,1055714.0
20000,2,ANCASH,2007,1063459.0
20000,2,ANCASH,2008,1071025.0
20000,2,ANCASH,2009,1078590.0
20000,2,ANCASH,2010,1086156.0
20000,2,ANCASH,2011,1093721.0
20000,2,ANCASH,2012,1101287.0
20000,2,ANCASH,2013,1108853.0
20000,2,ANCASH,2014,1116418.0
20000,2,ANCASH,2015,1123984.0
20000,2,ANCASH,2016,1131549.0
20000,2,ANCASH,2017,1139115.0
20000,2,ANCASH,2018,1155451.0
20000,2,ANCASH,2019,1169522.0
20000,2,ANCASH,2020,1180638.0
20000,2,ANCASH,2021,1188391.0
20000,2,ANCASH,2022,1194156.0
20000,2,ANCASH,2023,1198547.0
30000,3,APURIMAC,2000,393094.0
30000,3,APURIMAC,2001,394679.0
30000,3,APURIMAC,2002,396264.0
30000,3,APURIMAC,2003,397849.0
30000,3,APURIMAC,2004,399434.0
30000,3,APURIMAC,2005,401020.0
30000,3,APURIMAC,2006,402605.0
30000,3,APURIMAC,2007,404190.0
30000,3,APURIMAC,2008,406197.0
30000,3,APURIMAC,2009,408204.0
30000,3,APURIMAC,2010,410211.0
30000,3,APURIMAC,2011,412218.0
30000,3,APURIMAC,2012,414224.0
30000,3,APURIMAC,2013,416231.0
30000,3,APURIMAC,2014,418238.0
30000,3,APURIMAC,2015,420245.0
30000,3,APURIMAC,2016,422252.0
30000,3,APURIMAC,2017,424259.0
30000,3,APURIMAC,2018,427323.0
30000,3,APURIMAC,2019,429587.0
30000,3,APURIMAC,2020,430736.0
30000,3,APURIMAC,2021,430609.0
30000,3,APURIMAC,2022,429720.0
30000,3,APURIMAC,2023,428311.0
40000,4,AREQUIPA,2000,1034554.0
40000,4,AREQUIPA,2001,1051376.0
40000,4,AREQUIPA,2002,1068197.0
40000,4,AREQUIPA,2003,1085018.0
40000,4,AREQUIPA,2004,1101839.0
40000,4,AREQUIPA,2005,1118661.0
40000,4,AREQUIPA,2006,1135482.0
40000,4,AREQUIPA,2007,1152303.0
40000,4,AREQUIPA,2008,1183116.0
40000,4,AREQUIPA,2009,1213929.0
40000,4,AREQUIPA,2010,1244742.0
40000,4,AREQUIPA,2011,1275555.0
40000,4,AREQUIPA,2012,1306368.0
40000,4,AREQUIPA,2013,1337181.0
40000,4,AREQUIPA,2014,1367994.0
40000,4,AREQUIPA,2015,1398807.0
40000,4,AREQUIPA,2016,1429620.0
40000,4,AREQUIPA,2017,1460433.0
40000,4,AREQUIPA,2018,1428708.0
