year,HR,CFR
2006,0.3375584812923295,0.07755977747111628
2007,0.3792050653771068,0.060526156881175054
2008,0.290515646700636,0.046561120732164556
2009,0.38866900365087104,0.04707453606640512
2010,0.39070292873182716,0.0563958999228255
2011,0.46934127579654233,0.072928293807274
2012,0.48905329389314384,0.08913975692258674
2013,0.45417280405159627,0.07731860320289655
2014,0.4590631392231792,0.07127146593426148
2015,0.4111082820574908,0.009351568782865303
2016,0.3674844985812482,0.07995482971507771
2017,0.3598312162412069,0.08544375735922115
2018,0.36833335030603714,0.06364909661441484
2019,0.36133299963602666,0.06903463148321802
2020,0.49117596561473487,0.10931047629029114
2021,0.46098766350486015,0.15340418318913665
2022,0.3951716687351138,0.09791649909490759
2023,0.3056686268133959,0.07173278797275413
