date,year,neumonias_men5,hospitalizados_men5,defunciones_men5,neumonias_60mas,hospitalizados_60mas,defunciones_60mas,HR,CFR,HR_roll,CFR_roll
2006-01-02,2006,826,257,14,15,7,1,0.4666666666666667,0.06666666666666667,0.4666666666666667,0.06666666666666667
2006-01-09,2006,824,245,14,25,9,1,0.36,0.04,0.41333333333333333,0.05333333333333333
2006-01-16,2006,765,221,5,21,8,0,0.38095238095238093,0.0,0.40253968253968253,0.035555555555555556
2006-01-23,2006,743,203,17,13,6,1,0.46153846153846156,0.07692307692307693,0.4172893772893773,0.0458974358974359
2006-01-30,2006,585,200,10,18,10,3,0.5555555555555556,0.16666666666666666,0.44494261294261295,0.07005128205128205
2006-02-06,2006,610,214,7,18,6,2,0.3333333333333333,0.1111111111111111,0.42634106634106633,0.07689458689458689
2006-02-13,2006,590,178,10,17,5,0,0.29411764705882354,0.0,0.4074520064436031,0.0659096459096459
2006-02-20,2006,662,237,4,10,2,0,0.2,0.0,0.3815205056381527,0.05767094017094017
2006-02-27,2006,596,207,11,14,5,3,0.35714285714285715,0.21428571428571427,0.3678300294476765,0.07612332112332112
2006-03-06,2006,717,241,8,22,8,4,0.36363636363636365,0.18181818181818182,0.368284574902222,0.09385059385059384
2006-03-13,2006,790,231,4,21,7,0,0.3333333333333333,0.0,0.362332193949841,0.09385059385059384
2006-03-20,2006,796,239,10,17,9,4,0.5294117647058824,0.23529411764705882,0.37081635684576864,0.11364697394109159
2006-03-27,2006,748,213,4,16,9,2,0.5625,0.125,0.3716844124013242,0.10843864060775826
2006-04-03,2006,1069,311,4,16,0,1,0.0,0.0625,0.3300177457346575,0.10236225171886937
2006-04-10,2006,916,292,5,24,7,3,0.2916666666666667,0.125,0.3297113731856379,0.11798725171886937
2006-04-17,2006,1195,353,11,24,8,6,0.3333333333333333,0.25,0.34637803985230453,0.14923725171886937
2006-04-24,2006,1146,367,10,23,8,3,0.34782608695652173,0.13043478260869565,0.3452134435790126,0.13875588525924204
2006-05-01,2006,1152,342,9,30,13,3,0.43333333333333335,0.1,0.3539255647911339,0.12852861253196932
2006-05-08,2006,1494,398,13,43,15,7,0.3488372093023256,0.16279069767441862,0.3558635492872579,0.14887744974127165
2006-05-15,2006,1508,465,15,57,12,3,0.21052631578947367,0.05263157894736842,0.3160028681727068,0.12604463240381034
