year,population,cases_men5,cases_60mas,hosp_men5,hosp_60mas,death_men5,death_60mas,cases_rate_men5,hosp_rate_men5,death_rate_men5,cases_rate_60mas,hosp_rate_60mas,death_rate_60mas
2000,24730260.0,76337,0,15842,0,970,0,308.67851773495306,64.05917285139743,3.922320266750127,0.0,0.0,0.0
2001,25113386.0,60438,0,15234,0,697,0,240.66049874756035,60.660876235486526,2.7754122841101556,0.0,0.0,0.0
2002,25496512.0,54153,0,14073,0,687,0,212.39375801678284,55.19578521171837,2.6944862105059704,0.0,0.0,0.0
2003,25879641.0,52953,0,14796,0,685,0,204.61257557629955,57.1723541296419,2.646868246742681,0.0,0.0,0.0
2004,26262772.0,47114,0,14851,0,638,0,179.3946198824709,56.54772466516482,2.429294211593506,0.0,0.0,0.0
2005,26645902.0,45826,0,14392,0,611,0,171.98141763037333,54.01205783913789,2.2930355294408873,0.0,0.0,0.0
2006,27029027.0,49754,2760,15127,898,475,184,184.07617854686373,55.96575858983011,1.7573699563805978,10.211244378127263,3.3223541491153195,0.6807496252084843
2007,27412157.0,46142,5410,15254,2019,461,320,168.32677559814064,55.64684311417011,1.6817355890672887,19.735769060420893,7.365345237151531,1.1673652678992026
2008,27794678.0,43480,6985,14842,2015,424,322,156.43282501779657,53.398711796553286,1.5254718906979243,25.130710274823112,7.249589291878107,1.1584951622753106
2009,28177202.0,39564,6999,13527,2696,464,333,140.41138648187993,48.00689578759452,1.6467213458596777,24.839229956189406,9.568018854391575,1.1818064831277428
2010,28559729.0,36070,8815,12977,3443,444,491,126.29671661100144,45.43810622292669,1.5546366003683019,30.865138811366172,12.055436520423566,1.7192039882451264
2011,28942249.0,32427,8416,11527,3950,361,612,112.04036009779337,39.827589072293584,1.24731149953136,29.07859717467015,13.647868208168617,2.1145557831390365
2012,29324767.0,30973,9431,11746,4611,374,841,105.62061754829969,40.05487920841792,1.275372452234659,32.16052833429162,15.723910099609657,2.867882974142642
2013,29707293.0,30065,10159,11034,4633,405,786,101.20410499872877,37.142394630167075,1.3633015973552354,34.19698994452305,15.595497038387172,2.645814951904234
2014,30089818.0,25890,9961,9104,4539,264,713,86.04239480611015,30.25608197430772,0.8773732031214014,33.10422150110712,15.084837003666822,2.369572325096815
2015,30472340.0,25169,11261,8487,4620,225,109,82.596216765762,27.851487611387903,0.7383745390081629,36.9548252612041,15.161290534300944,0.3577014433417322
2016,30854859.0,26405,15244,8383,5605,229,1209,85.57809322674267,27.169140523377532,0.7421845615953067,49.40550854567185,18.16569636568425,3.9183455675490206
2017,31237385.0,26112,17041,8670,6112,248,1434,83.59214447688242,27.755204220839868,0.7939204898233319,54.553222044674996,19.56629852338792,4.590653154865556
2018,31559506.0,28483,19869,10513,7321,297,1275,90.25172954228118,33.31167477716539,0.94107936923981,62.95725921692184,23.197448020891073,4.039987191181003
2019,32131400.0,25663,20942,9276,7547,191,1427,79.86891327486508,28.868956845951313,0.5944341049565223,65.17612055497115,23.487927696894626,4.441138574727526
2020,32625948.0,7520,22343,2427,11088,97,2532,23.049138679433927,7.438864305184328,0.2973093686044004,68.48230126523833,33.98521937201641,7.760694034085998
2021,33035304.0,9396,33533,2475,16783,93,6161,28.442299183927595,7.491984938295103,0.2815170098026039,101.50655795387867,50.803225543194635,18.649745133267125
2022,33396698.0,21810,23705,6449,9400,193,2338,65.30585748327574,19.310292292968604,0.5779014440289876,70.98007114356035,28.14649520141183,7.000692104351155
2023,33725844.0,31846,31160,9952,9511,247,2219,94.42610242756267,29.508527644259992,0.7323760377946361,92.39205399870794,28.200925082853374,6.579523999458694
