year,HR,CFR
2000,0.20384617355077303,0.012888820696999136
2001,0.24655863157660707,0.011990665213288966
2002,0.2601475705977791,0.013178096527960386
2003,0.2790137004576837,0.01277882476040197
2004,0.31506557882398556,0.013606955211628486
2005,0.3120058243889208,0.013455256596484192
2006,0.30464648983785036,0.009850543448368958
2007,0.33059492900632986,0.010014488852039654
2008,0.3409463519898757,0.009913716605668203
2009,0.3382249016802666,0.012075267876633619
2010,0.3589764771610306,0.012845913318422282
2011,0.3547316460995272,0.011744595567023074
2012,0.38050310397678067,0.013309657884047383
2013,0.3687700078350079,0.013967421413968336
2014,0.3486649932262561,0.010176906916932387
2015,0.3305403176434922,0.009676209976288711
2016,0.31554472954330237,0.008855427482475945
2017,0.3285548739274684,0.00976341580573855
2018,0.36502274981310096,0.01036326163258995
2019,0.3583576146875044,0.0076474926861547715
2020,0.28979347009931705,0.01850815190193352
2021,0.2588212596219576,0.01007872856205802
2022,0.29342841784451595,0.008768439803746215
2023,0.3088445707493342,0.008145926531296366
