date,year,neumonias_men5,hospitalizados_men5,defunciones_men5,neumonias_60mas,hospitalizados_60mas,defunciones_60mas,HR,CFR,HR_roll,CFR_roll
2000-01-03,2000,1146,247,19,0,0,0,0.21553228621291448,0.016579406631762654,0.21553228621291448,0.016579406631762654
2000-01-10,2000,1329,225,11,0,0,0,0.16930022573363432,0.008276899924755455,0.19241625597327439,0.012428153278259055
2000-01-17,2000,1195,242,14,0,0,0,0.20251046025104602,0.011715481171548118,0.1957809907325316,0.012190595909355409
2000-01-24,2000,1038,205,17,0,0,0,0.197495183044316,0.016377649325626204,0.1962095388104777,0.013237359263423107
2000-01-31,2000,1034,200,13,0,0,0,0.19342359767891681,0.012572533849129593,0.19565235058416552,0.013104394180564406
2000-02-07,2000,1007,178,16,0,0,0,0.17676266137040714,0.015888778550148957,0.19250406904853912,0.01356845824216183
2000-02-14,2000,1045,233,19,0,0,0,0.22296650717703348,0.01818181818181818,0.19685584592403832,0.014227509662112737
2000-02-21,2000,1083,189,15,0,0,0,0.1745152354570637,0.013850415512465374,0.1940632696156665,0.014180372893406817
2000-02-28,2000,954,173,9,0,0,0,0.18134171907756813,0.009433962264150943,0.1897894487237482,0.013287192347455352
2000-03-06,2000,1076,219,21,0,0,0,0.20353159851301114,0.019516728624535316,0.1940683703211703,0.014692170934927837
2000-03-13,2000,1189,205,20,0,0,0,0.1724137931034483,0.01682085786375105,0.19030628692772059,0.015330343021453204
2000-03-20,2000,1254,220,18,0,0,0,0.17543859649122806,0.014354066985645933,0.1875492136085846,0.015077395228955669
2000-03-27,2000,1094,193,13,0,0,0,0.17641681901279707,0.011882998171846435,0.1854233662753196,0.014991203269295273
2000-04-03,2000,999,196,9,0,0,0,0.1961961961961962,0.009009009009009009,0.18785255812854326,0.01413123207665278
2000-04-10,2000,1123,192,16,0,0,0,0.1709706144256456,0.014247551202137132,0.18135307153461977,0.01363944870419265
2000-04-17,2000,1195,254,19,0,0,0,0.2125523012552301,0.015899581589958158,0.18610770475939056,0.013895594463879248
