region,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AMAZONAS,3,2,3,4,4,6,6,7,7,4,7,5,6,5,5,5,6,9,6,4,3,4,7,5
ANCASH,15,14,18,19,13,21,17,17,18,17,17,18,19,16,23,23,17,15,14,15,18,15,18,16
APURIMAC,5,5,5,2,6,4,5,4,5,7,6,12,10,14,3,13,10,12,9,14,15,18,14,14
AREQUIPA,16,11,11,9,10,10,7,9,8,9,9,8,7,7,9,6,5,5,5,6,17,14,12,6
AYACUCHO,18,18,20,20,20,17,21,19,15,22,19,21,18,22,14,8,21,17,18,21,21,12,11,13
CAJAMARCA,7,10,9,8,11,11,11,11,10,10,15,13,16,15,17,18,19,20,21,17,14,17,16,15
CALLAO,24,22,21,15,16,19,15,15,12,12,10,7,14,20,16,7,9,10,12,11,11,20,19,17
CUSCO,10,8,10,7,8,7,9,10,11,11,11,14,9,10,13,14,14,11,11,12,9,11,8,9
HUANCAVELICA,1,1,6,6,7,8,8,8,6,5,8,9,12,8,10,9,12,16,15,18,13,19,17,19
HUANUCO,4,3,4,3,2,3,3,5,4,6,4,4,3,3,4,3,3,7,4,7,6,6,9,4
ICA,17,16,17,17,21,20,22,21,20,24,21,19,21,23,18,22,20,22,23,24,22,22,25,24
JUNIN,11,12,13,16,15,14,18,18,16,19,20,20,20,18,8,19,24,21,20,22,23,21,20,21
LA LIBERTAD,20,19,16,18,14,18,16,23,22,23,22,23,22,24,24,24,22,23,22,23,20,23,23,25
LAMBAYEQUE,19,20,19,23,24,24,23,25,24,21,25,24,23,19,22,20,23,24,24,19,12,13,21,22
LIMA,25,24,25,24,22,22,20,16,19,18,18,17,15,17,15,12,8,8,10,9,8,10,15,11
LORETO,6,6,2,1,1,1,2,1,2,2,2,1,1,1,1,2,2,3,2,2,2,2,1,1
MADRE DE DIOS,8,7,12,13,12,9,10,6,9,8,5,6,5,9,12,11,4,2,3,3,5,3,2,7
MOQUEGUA,21,21,22,22,19,16,19,20,23,16,16,16,13,6,19,21,16,18,16,13,24,25,22,18
PASCO,9,9,7,10,5,5,4,3,3,3,3,3,4,4,6,4,7,4,7,5,4,5,13,20
PIURA,14,15,8,11,9,12,12,13,14,15,14,10,8,12,11,10,11,14,17,16,7,8,4,8
PUNO,13,13,14,12,18,13,14,14,17,14,12,15,11,11,20,15,13,13,8,10,16,16,6,3
SAN MARTIN,12,17,15,14,17,15,13,12,13,13,13,11,17,13,7,16,18,19,19,20,10,7,5,10
TACNA,23,23,24,21,23,23,24,24,25,25,23,25,25,25,25,25,25,25,25,25,25,24,24,23
TUMBES,22,25,23,25,25,25,25,22,21,20,24,22,24,21,21,17,15,6,13,8,19,9,10,12
UCAYALI,2,4,1,5,3,2,1,2,1,1,1,2,2,2,2,1,1,1,1,1,1,1,3,2
