region,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AMAZONAS,4,7,4,11,15,16,18,8,9,10,7,4,7,7,8,6,7,2,10,2,6,3,7,4
ANCASH,8,12,13,10,10,10,10,11,10,13,11,18,20,17,20,13,20,24,12,13,18,19,17,14
APURIMAC,13,11,6,3,8,12,13,14,6,9,13,14,17,14,12,14,9,10,17,5,4,21,9,17
AREQUIPA,12,14,20,19,15,18,14,13,16,14,15,8,15,21,16,18,25,23,19,18,18,14,15,15
AYACUCHO,15,23,18,12,12,8,16,7,13,12,12,9,12,10,1,9,10,13,9,9,11,5,13,10
CAJAMARCA,6,16,14,9,4,3,6,10,11,11,17,21,13,12,19,17,20,18,19,20,16,20,21,19
CALLAO,23,25,23,23,21,24,22,22,22,22,19,22,22,15,15,19,15,16,18,18,18,21,18,21
CUSCO,3,3,3,2,3,5,11,6,5,5,9,7,10,6,5,5,4,7,3,9,8,10,5,5
HUANCAVELICA,1,1,1,1,2,1,1,1,1,1,2,5,8,2,4,2,2,1,7,6,13,7,10,2
HUANUCO,2,4,8,5,6,6,3,4,4,3,4,3,5,9,7,15,8,6,5,8,5,4,11,7
ICA,20,22,21,21,21,19,23,23,20,22,22,23,19,13,21,22,24,21,22,20,18,14,16,13
JUNIN,14,15,17,13,14,11,8,9,8,8,10,11,9,8,10,8,12,11,8,7,14,13,8,8
LA LIBERTAD,18,18,15,17,19,22,19,20,19,19,8,16,16,19,16,10,11,15,16,11,14,16,12,12
LAMBAYEQUE,22,24,24,24,23,23,24,21,21,15,20,20,24,23,23,21,23,16,24,23,18,21,19,21
LIMA,21,21,19,20,20,17,17,19,18,21,21,24,23,22,22,20,19,22,21,22,17,18,20,20
LORETO,11,6,7,8,13,7,9,18,7,6,3,1,1,1,2,3,1,5,2,4,2,1,1,1
MADRE DE DIOS,9,5,12,18,1,15,4,24,12,22,22,17,6,24,11,12,13,12,13,14,9,8,14,16
MOQUEGUA,19,8,9,6,4,4,7,14,22,20,22,15,11,24,24,22,14,8,15,23,18,9,23,21
PASCO,5,9,5,7,9,8,5,2,3,4,6,6,3,3,6,1,6,9,4,3,3,12,3,5
PIURA,16,17,10,14,11,14,15,12,17,18,15,19,21,20,14,16,18,19,14,15,12,17,22,18
PUNO,10,10,2,4,7,2,2,3,2,2,1,2,2,5,3,4,5,3,6,12,10,11,6,9
SAN MARTIN,17,20,16,15,18,21,20,16,22,17,14,12,25,18,18,11,16,20,23,16,7,6,2,11
TACNA,24,13,25,22,24,25,24,24,22,22,22,12,14,15,13,22,22,14,11,17,18,21,23,21
TUMBES,24,19,22,24,24,20,21,17,15,15,18,25,18,11,24,22,17,24,24,23,18,21,23,21
UCAYALI,7,2,11,16,17,13,12,5,14,7,5,10,4,4,9,7,3,4,1,1,1,2,4,3
