region,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AMAZONAS,5,4,11,10,21,23,22,21,22,20,21,21,23,13,16,17,13,17,18,14,23,22,17,8
ANCASH,15,12,20,22,14,18,18,22,21,12,13,13,11,7,15,12,12,7,6,11,16,16,16,14
APURIMAC,8,11,7,3,5,1,2,3,2,3,4,10,12,14,17,13,9,13,13,17,12,14,4,11
AREQUIPA,13,9,4,7,6,8,9,8,6,7,8,7,8,10,13,6,3,3,2,2,19,11,11,7
AYACUCHO,17,19,21,21,22,14,19,20,15,16,15,19,18,20,6,5,16,14,11,18,21,6,2,2
CAJAMARCA,18,20,14,8,8,10,10,11,13,11,18,17,19,19,18,21,17,18,20,15,10,8,8,12
CALLAO,21,16,16,12,12,20,20,23,23,23,24,22,24,25,25,19,23,23,15,8,8,17,22,19
CUSCO,6,8,5,1,4,6,7,6,9,8,9,8,9,11,10,14,14,11,7,12,11,12,10,21
HUANCAVELICA,3,2,2,2,3,5,6,5,5,5,5,6,10,8,8,8,10,12,12,10,6,10,7,3
HUANUCO,2,5,3,5,2,3,4,4,4,4,3,3,1,2,2,3,4,8,8,6,5,4,12,5
ICA,11,10,9,9,10,9,11,10,8,17,14,11,15,17,12,16,21,21,23,22,22,15,25,23
JUNIN,14,1,15,13,13,12,13,16,10,19,20,20,16,11,11,18,18,15,10,13,17,21,14,16
LA LIBERTAD,20,21,19,20,18,19,15,19,19,18,19,18,17,21,21,23,22,22,21,19,13,23,20,24
LAMBAYEQUE,24,24,24,23,24,25,25,24,24,25,25,25,25,23,24,25,24,25,24,25,24,19,24,25
LIMA,22,22,22,19,15,17,17,14,16,13,16,15,14,15,9,10,7,9,14,7,9,13,18,15
LORETO,4,7,1,4,9,4,5,2,3,1,1,1,2,1,1,2,5,6,4,5,2,2,3,1
MADRE DE DIOS,7,6,12,14,20,21,21,18,14,21,11,16,6,16,19,11,1,1,1,1,1,1,1,6
MOQUEGUA,16,14,8,16,17,11,8,15,11,6,7,4,5,4,5,9,11,10,9,4,14,24,19,4
PASCO,10,13,10,6,1,2,1,1,1,2,2,2,3,3,3,1,2,2,3,3,3,3,8,17
PIURA,19,18,13,11,11,13,12,13,18,15,17,14,13,18,14,15,15,16,19,20,15,20,21,22
PUNO,12,15,18,17,19,15,16,12,17,10,10,12,7,9,22,20,19,19,17,16,18,18,13,9
SAN MARTIN,9,17,17,18,16,16,14,9,12,14,12,9,21,22,20,22,20,20,22,21,7,9,6,10
TACNA,25,25,25,25,23,22,23,25,25,24,23,23,22,24,23,24,25,24,25,24,25,25,23,18
TUMBES,23,23,23,24,25,24,24,17,20,22,22,24,20,6,7,7,8,4,16,23,20,7,5,13
UCAYALI,1,3,6,15,7,7,3,7,7,9,6,5,4,5,4,4,6,5,5,9,4,5,15,20
