region,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AMAZONAS,8,14,15,12,14,21,13,14,10,14,13,9,23,15,16,19,20,14
ANCASH,19,15,16,11,13,16,14,11,13,20,19,17,16,13,15,12,14,18
APURIMAC,3,2,2,4,4,15,8,13,2,10,11,8,4,6,12,13,13,4
AREQUIPA,17,3,1,1,2,1,1,1,1,1,1,2,1,1,3,4,3,2
AYACUCHO,16,11,10,16,19,18,16,9,4,11,15,13,11,12,18,1,2,13
CAJAMARCA,15,21,22,22,24,24,23,24,22,24,20,18,19,24,24,24,16,21
CALLAO,11,25,5,3,1,2,9,8,17,3,2,5,5,4,4,8,11,7
CUSCO,2,1,3,2,3,3,3,2,6,6,6,3,3,3,6,9,8,6
HUANCAVELICA,1,7,4,6,5,4,6,3,3,5,4,7,8,11,17,5,6,11
HUANUCO,7,12,11,14,9,12,15,17,17,4,5,12,17,17,7,14,4,3
ICA,24,17,13,13,15,20,21,20,20,21,22,23,21,25,10,6,22,20
JUNIN,13,9,17,18,12,13,12,12,7,9,16,20,20,21,23,17,19,19
LA LIBERTAD,9,5,9,9,10,9,5,6,9,12,9,10,14,20,8,18,23,24
LAMBAYEQUE,21,23,25,25,25,25,25,21,24,25,25,25,25,18,19,21,25,22
LIMA,14,19,20,20,20,19,19,19,19,17,12,11,13,14,9,10,12,9
LORETO,4,13,8,8,16,11,11,15,12,13,10,16,18,19,22,15,5,1
MADRE DE DIOS,5,10,12,17,23,22,20,16,15,16,21,21,15,8,25,16,17,12
MOQUEGUA,10,4,6,7,8,7,2,7,5,2,3,1,2,2,1,3,1,8
PASCO,12,6,7,5,6,5,7,4,11,8,14,15,10,16,5,7,15,10
PIURA,20,20,20,21,17,10,10,10,16,15,7,4,6,5,2,2,7,5
PUNO,23,8,14,10,7,6,4,5,8,7,8,6,7,9,14,22,18,16
SAN MARTIN,22,22,24,24,18,17,22,23,23,22,23,22,24,23,11,11,9,15
TACNA,24,24,23,15,11,8,17,25,21,23,24,24,22,22,21,23,21,25
TUMBES,6,18,19,19,22,23,24,18,14,18,18,19,12,7,13,25,24,17
UCAYALI,18,16,18,23,21,14,18,22,25,19,17,14,9,10,20,20,10,23
