region,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AMAZONAS,3,7,7,10,13,12,20,20,16,12,14,22,21,24,5,8,15,11
ANCASH,16,14,13,15,15,18,17,17,20,9,17,17,19,20,20,16,19,22
APURIMAC,2,6,5,5,17,15,11,15,14,4,10,12,8,8,14,21,14,6
AREQUIPA,16,2,2,2,3,4,2,5,5,3,11,8,11,2,7,14,3,1
AYACUCHO,10,10,14,19,12,20,18,7,2,12,2,7,5,6,9,2,1,3
CAJAMARCA,16,17,21,21,18,21,19,22,21,7,22,20,18,19,19,23,23,24
CALLAO,13,19,19,16,20,19,22,8,7,12,4,3,4,4,4,6,6,8
CUSCO,6,4,6,8,6,8,15,19,10,11,7,9,6,7,12,15,7,4
HUANCAVELICA,1,1,1,1,1,3,4,1,1,1,1,4,1,3,11,4,5,2
HUANUCO,5,11,8,7,10,7,10,10,11,10,13,13,15,15,15,13,18,14
ICA,16,17,9,17,16,9,8,3,19,6,5,5,3,5,8,5,2,5
JUNIN,8,9,10,6,7,17,12,13,12,12,15,20,14,18,22,18,9,14
LA LIBERTAD,12,15,11,11,8,6,3,2,3,12,3,1,12,10,2,7,21,8
LAMBAYEQUE,16,21,21,21,20,23,24,21,23,12,23,24,23,25,23,17,24,25
LIMA,9,13,16,12,13,10,9,9,8,8,6,6,9,9,10,11,13,10
LORETO,15,19,17,9,19,14,13,14,15,5,20,14,20,17,18,20,10,16
MADRE DE DIOS,7,21,12,21,20,11,16,23,18,12,23,15,16,14,21,12,11,17
MOQUEGUA,4,5,4,3,4,5,6,11,6,12,12,2,2,1,1,3,4,13
PASCO,16,12,18,13,5,16,7,6,17,12,18,16,22,22,24,10,16,20
PIURA,13,21,21,21,20,22,21,18,13,12,9,10,13,12,6,1,12,12
PUNO,16,3,3,4,2,2,5,12,9,2,8,11,10,13,16,19,17,18
SAN MARTIN,11,21,21,20,11,12,23,23,22,12,21,23,24,23,3,9,8,7
TACNA,16,8,21,18,9,1,1,4,4,12,19,18,7,11,17,22,22,23
TUMBES,16,21,14,14,20,23,25,23,23,12,16,19,24,21,25,25,25,21
UCAYALI,16,16,20,21,20,23,14,16,23,12,23,25,17,16,13,24,20,19
