region,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AMAZONAS,5,12,9,10,11,17,11,10,7,8,12,2,15,16,11,13,16,8
ANCASH,17,13,21,11,12,13,14,8,10,16,14,8,10,4,13,10,7,11
APURIMAC,2,1,1,1,1,19,15,16,12,14,4,6,6,8,19,23,9,5
AREQUIPA,20,10,14,2,2,1,1,2,4,6,6,3,4,7,4,6,6,12
AYACUCHO,10,11,16,18,18,10,13,4,1,3,3,4,2,2,14,1,1,2
CAJAMARCA,13,21,12,19,23,24,22,25,22,25,22,24,22,23,21,20,22,17
CALLAO,16,24,23,24,24,23,24,24,24,12,20,14,5,5,3,8,10,7
CUSCO,1,2,2,4,3,4,3,6,11,10,8,5,8,10,16,16,15,4
HUANCAVELICA,4,6,5,8,6,6,4,5,3,2,2,9,3,9,12,5,3,1
HUANUCO,6,9,15,13,8,9,12,15,15,11,7,11,14,15,8,15,8,18
ICA,23,15,3,7,10,16,19,13,16,17,16,20,19,19,7,4,13,15
JUNIN,9,8,10,15,9,8,6,7,5,5,5,12,9,17,22,17,14,14
LA LIBERTAD,7,7,6,9,14,15,8,11,13,18,13,13,16,13,6,12,21,19
LAMBAYEQUE,20,25,24,25,25,25,25,23,23,24,23,25,25,24,15,14,24,25
LIMA,14,19,19,20,20,18,16,20,19,19,15,15,17,20,18,18,20,22
LORETO,8,16,7,5,16,14,10,9,8,7,9,19,20,18,23,24,18,21
MADRE DE DIOS,3,4,18,12,19,21,20,17,14,15,17,18,13,3,24,11,5,6
MOQUEGUA,11,3,4,3,4,2,2,1,2,1,1,1,1,1,2,2,2,3
PASCO,18,5,8,6,5,5,5,3,6,4,10,7,7,6,5,9,17,16
PIURA,15,22,20,22,21,20,18,19,20,21,19,16,24,22,1,3,12,10
PUNO,22,14,13,17,13,7,9,14,17,13,11,10,11,11,17,22,19,13
SAN MARTIN,19,20,22,21,15,12,21,21,21,20,21,22,23,21,9,7,4,9
TACNA,23,23,24,16,7,3,7,22,18,22,24,21,12,14,10,19,11,24
TUMBES,23,17,11,14,17,22,23,12,9,9,18,17,18,25,25,25,25,20
UCAYALI,12,18,17,23,22,11,17,18,25,23,25,23,21,12,20,21,23,23
